,X_array,Y
0,"[6, 4, 20, 12, 3, 2, 1, 0, 1, 1, 0, 2, 0, 0, 14, 5, 2, 0, 5, 5, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 1, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 2, 2]",1
1,"[3, 6, 10, 7, 0, 0, 2, 1, 1, 1, 2, 2, 1, 4, 3, 1, 1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0]",1
2,"[8, 6, 9, 8, 2, 1, 2, 2, 2, 0, 3, 1, 4, 1, 1, 3, 0, 3, 3, 2, 0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 1]",1
3,"[7, 2, 8, 11, 3, 0, 3, 1, 1, 0, 0, 1, 1, 0, 1, 5, 1, 2, 4, 4, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 3, 0, 0, 2, 2]",1
4,"[6, 4, 8, 5, 2, 1, 1, 2, 2, 1, 1, 0, 1, 1, 4, 1, 1, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",1
5,"[3, 8, 7, 12, 0, 1, 2, 0, 1, 1, 1, 5, 1, 2, 1, 3, 1, 4, 3, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 3, 1, 2, 0, 0, 0, 2, 0, 0]",1
6,"[14, 3, 7, 5, 9, 1, 3, 1, 0, 0, 0, 2, 3, 0, 3, 1, 2, 1, 1, 1, 7, 1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1
7,"[10, 8, 14, 11, 2, 3, 4, 1, 3, 1, 1, 3, 5, 2, 5, 1, 0, 2, 4, 5, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 0, 0, 2, 2, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 2, 1]",1
8,"[7, 6, 8, 3, 1, 2, 4, 0, 2, 2, 0, 2, 3, 1, 3, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1
9,"[7, 10, 11, 7, 1, 2, 4, 0, 2, 2, 2, 3, 3, 4, 2, 2, 0, 2, 3, 2, 0, 1, 0, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",1
