,X_array,Y
1133,"[9, 13, 17, 8, 3, 1, 2, 3, 3, 8, 0, 2, 3, 3, 8, 2, 0, 1, 6, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 1, 2, 4, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 2, 0, 0, 0, 3, 3, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 4, 0, 0, 1, 0, 0]",1
1252,"[2, 10, 10, 6, 0, 0, 1, 1, 1, 5, 0, 4, 1, 4, 4, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0]",-1
1111,"[6, 9, 14, 4, 1, 1, 3, 1, 3, 4, 2, 0, 2, 2, 7, 2, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 4, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1
308,"[9, 3, 5, 8, 2, 2, 1, 3, 1, 1, 0, 1, 3, 0, 2, 0, 3, 0, 2, 3, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",1
1630,"[13, 3, 2, 12, 6, 0, 2, 4, 1, 0, 0, 2, 1, 0, 0, 1, 5, 3, 0, 4, 2, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 2]",-1
1707,"[7, 0, 6, 6, 2, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 4, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",-1
224,"[10, 10, 6, 14, 3, 2, 3, 2, 3, 4, 0, 3, 2, 2, 1, 0, 2, 2, 2, 8, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 5]",1
1027,"[8, 6, 9, 17, 2, 1, 1, 3, 1, 0, 0, 5, 3, 2, 1, 3, 2, 3, 6, 6, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 2, 1, 2]",1
394,"[6, 1, 11, 4, 2, 0, 3, 1, 0, 0, 0, 0, 3, 1, 4, 3, 1, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]",1
1229,"[10, 10, 11, 9, 3, 4, 2, 1, 4, 2, 0, 4, 1, 2, 6, 2, 1, 2, 3, 2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 2, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 1, 1]",-1
2120,"[10, 2, 5, 10, 4, 1, 0, 5, 1, 0, 1, 0, 1, 0, 1, 2, 4, 1, 2, 3, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",-1
776,"[7, 3, 11, 6, 1, 1, 4, 1, 0, 1, 0, 2, 3, 1, 3, 3, 2, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",1
333,"[6, 13, 5, 6, 0, 2, 2, 2, 6, 4, 1, 2, 0, 1, 1, 2, 0, 5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1
